,,,Date,2021/07/26 04:47:41 PM
Product, Contract Month (week), Open Interest(A), Average Volume(B), Liquidity Indicator(A/B)
IJF    ,202108  ,50,5,10.00
IJF    ,202109  ,0,0,NA
IJF    ,202112  ,0,0,NA
IJF    ,202203  ,0,0,NA
IJF    ,202206  ,0,0,NA
IMF    ,202108  ,1812,1243,1.46
IMF    ,202109  ,34,13,2.62
IMF    ,202112  ,2,0,9999.99
IMF    ,202203  ,2,0,9999.99
IMF    ,202206  ,0,0,NA
IOF    ,202108  ,3826,2369,1.62
IOF    ,202109  ,126,7,18.00
IOF    ,202112  ,10,2,5.00
IOF    ,202203  ,0,0,NA
IOF    ,202206  ,0,0,NA
IPF    ,202108  ,1966,1406,1.40
IPF    ,202109  ,26,11,2.36
IPF    ,202112  ,2,0,9999.99
IPF    ,202203  ,0,0,NA
IPF    ,202206  ,0,0,NA
IQF    ,202108  ,486,121,4.02
IQF    ,202109  ,0,0,NA
IQF    ,202112  ,0,0,NA
IQF    ,202203  ,0,0,NA
IQF    ,202206  ,0,0,NA
IRF    ,202108  ,7254,6596,1.10
IRF    ,202109  ,72,32,2.25
IRF    ,202112  ,0,0,NA
IRF    ,202203  ,34,0,9999.99
IRF    ,202206  ,0,0,NA
ITF    ,202108  ,3108,1952,1.59
ITF    ,202109  ,108,41,2.63
ITF    ,202112  ,0,0,NA
ITF    ,202203  ,0,0,NA
ITF    ,202206  ,0,0,NA
IXF    ,202108  ,5736,5294,1.08
IXF    ,202109  ,58,19,3.05
IXF    ,202112  ,8,2,4.00
IXF    ,202203  ,6,1,6.00
IXF    ,202206  ,4,2,2.00
IYF    ,202108  ,240,32,7.50
IYF    ,202109  ,6,2,3.00
IYF    ,202112  ,0,0,NA
IYF    ,202203  ,0,0,NA
IYF    ,202206  ,0,0,NA
IZF    ,202108  ,198,54,3.67
IZF    ,202109  ,240,1,240.00
IZF    ,202112  ,0,0,NA
IZF    ,202203  ,0,0,NA
IZF    ,202206  ,0,0,NA
JBF    ,202108  ,750,414,1.81
JBF    ,202109  ,6,3,2.00
JBF    ,202112  ,0,0,NA
JBF    ,202203  ,0,0,NA
JBF    ,202206  ,0,0,NA
JFF    ,202108  ,624,42,14.86
JFF    ,202109  ,70,14,5.00
JFF    ,202112  ,0,0,NA
JFF    ,202203  ,0,0,NA
JFF    ,202206  ,0,0,NA
JMF    ,202108  ,184,49,3.76
JMF    ,202109  ,26,0,9999.99
JMF    ,202112  ,2,0,9999.99
JMF    ,202203  ,0,0,NA
JMF    ,202206  ,0,0,NA
JNF    ,202108  ,850,197,4.31
JNF    ,202109  ,24,1,24.00
JNF    ,202112  ,34,1,34.00
JNF    ,202203  ,12,0,9999.99
JNF    ,202206  ,0,0,NA
JPF    ,202108  ,116,14,8.29
JPF    ,202109  ,4,1,4.00
JPF    ,202112  ,0,0,NA
JPF    ,202203  ,0,0,NA
JPF    ,202206  ,0,0,NA
JSF    ,202108  ,1406,218,6.45
JSF    ,202109  ,64,18,3.56
JSF    ,202112  ,8,1,8.00
JSF    ,202203  ,0,0,NA
JSF    ,202206  ,0,0,NA
JWF    ,202108  ,52,13,4.00
JWF    ,202109  ,10,0,9999.99
JWF    ,202112  ,0,0,NA
JWF    ,202203  ,0,0,NA
JWF    ,202206  ,0,0,NA
JZF    ,202108  ,974,416,2.34
JZF    ,202109  ,508,2,254.00
JZF    ,202112  ,4,0,9999.99
JZF    ,202203  ,0,0,NA
JZF    ,202206  ,0,0,NA
KAF    ,202108  ,590,353,1.67
KAF    ,202109  ,26,3,8.67
KAF    ,202112  ,0,0,NA
KAF    ,202203  ,0,0,NA
KAF    ,202206  ,0,0,NA
KB1    ,202108  ,74,8,9.25
KBF    ,202108  ,284,78,3.64
KBF    ,202109  ,0,0,NA
KBF    ,202112  ,0,0,NA
KBF    ,202203  ,0,0,NA
KBF    ,202206  ,0,0,NA
KCF    ,202108  ,208,34,6.12
KCF    ,202109  ,0,0,NA
KCF    ,202112  ,0,0,NA
KCF    ,202203  ,0,0,NA
KCF    ,202206  ,0,0,NA
KDF    ,202108  ,6514,4536,1.44
KDF    ,202109  ,338,122,2.77
KDF    ,202112  ,2,0,9999.99
KDF    ,202203  ,0,0,NA
KDF    ,202206  ,0,0,NA
KEF    ,202108  ,2052,820,2.50
KEF    ,202109  ,154,8,19.25
KEF    ,202112  ,50,0,9999.99
KEF    ,202203  ,0,0,NA
KEF    ,202206  ,0,0,NA
KFF    ,202108  ,178,73,2.44
KFF    ,202109  ,12,3,4.00
KFF    ,202112  ,2,1,2.00
KFF    ,202203  ,0,0,NA
KFF    ,202206  ,0,0,NA
KGF    ,202108  ,562,195,2.88
KGF    ,202109  ,0,1,0.00
KGF    ,202112  ,0,0,NA
KGF    ,202203  ,2,1,2.00
KGF    ,202206  ,0,0,NA
KIF    ,202108  ,414,140,2.96
KIF    ,202109  ,0,1,0.00
KIF    ,202112  ,0,0,NA
KIF    ,202203  ,2,0,9999.99
KIF    ,202206  ,0,0,NA
KKF    ,202108  ,148,55,2.69
KKF    ,202109  ,0,0,NA
KKF    ,202112  ,2,0,9999.99
KKF    ,202203  ,0,0,NA
KKF    ,202206  ,0,0,NA
KLF    ,202108  ,774,146,5.30
KLF    ,202109  ,34,8,4.25
KLF    ,202112  ,0,0,NA
KLF    ,202203  ,0,0,NA
KLF    ,202206  ,0,0,NA
KOF    ,202108  ,1566,70,22.37
KOF    ,202109  ,134,27,4.96
KOF    ,202112  ,0,0,NA
KOF    ,202203  ,0,0,NA
KOF    ,202206  ,0,0,NA
KPF    ,202108  ,944,331,2.85
